SampID,MF,Area
200929_Smp_A_4LGV_T24,"Glycine betaine, 13C5, 15N",787742976
200929_Smp_A_4LGV_T36,"Glycine betaine, 13C5, 15N",1059724032
200929_Smp_A_4LGV_T48,"Glycine betaine, 13C5, 15N",1005168832
200929_Smp_A_6HV_T0,"Glycine betaine, 13C5, 15N",973405824
200929_Smp_A_6HV_T12,"Glycine betaine, 13C5, 15N",923634048
200929_Smp_A_6HV_T24,"Glycine betaine, 13C5, 15N",899673664
200929_Smp_A_6HV_T36,"Glycine betaine, 13C5, 15N",1142230656
200929_Smp_A_6HV_T48,"Glycine betaine, 13C5, 15N",827224448
200929_Smp_A_8G_T0,"Glycine betaine, 13C5, 15N",897801088
200929_Smp_A_8G_T48,"Glycine betaine, 13C5, 15N",907139200
200929_Smp_A_9V_T0,"Glycine betaine, 13C5, 15N",948697984
200929_Poo_TruePooMortality_Full1,"Guanine, 13C, 15N2",146383376
200929_Poo_TruePooMortality_Full2,"Guanine, 13C, 15N2",108502560
200929_Poo_TruePooMortality_Full3,"Guanine, 13C, 15N2",102561064
200929_Poo_TruePooMortality_Full4,"Guanine, 13C, 15N2",91452912
200929_Poo_TruePooMortality_Full5,"Guanine, 13C, 15N2",95208488
200929_Poo_TruePooMortality_Full6,"Guanine, 13C, 15N2",118204880
200929_Poo_TruePooMortality_Half1,"Guanine, 13C, 15N2",65880176
200929_Poo_TruePooMortality_Half2,"Guanine, 13C, 15N2",106734608
200929_Poo_TruePooMortality_Half3,"Guanine, 13C, 15N2",111796392
200929_Poo_TruePooMortality_Half4,"Guanine, 13C, 15N2",119254928
200929_Poo_TruePooMortality_Half5,"Guanine, 13C, 15N2",116833136
200929_Poo_TruePooMortality_Half6,"Guanine, 13C, 15N2",83561920
200929_Smp_A_1C_T0,"Guanine, 13C, 15N2",94903440
200929_Smp_A_1C_T12,"Guanine, 13C, 15N2",98994544
200929_Smp_A_1C_T18,"Guanine, 13C, 15N2",116580152
200929_Smp_A_1C_T24,"Guanine, 13C, 15N2",151038800
200929_Smp_A_1C_T30,"Guanine, 13C, 15N2",120548880
200929_Smp_A_1C_T36,"Guanine, 13C, 15N2",114663256
200929_Smp_A_1C_T42,"Guanine, 13C, 15N2",115755248
200929_Smp_A_1C_T48,"Guanine, 13C, 15N2",104241672
200929_Smp_A_1C_T6,"Guanine, 13C, 15N2",96682392
200929_Smp_A_3LV_T0,"Guanine, 13C, 15N2",89810112
200929_Smp_A_3LV_T12,"Guanine, 13C, 15N2",164275840
200929_Smp_A_3LV_T24,"Guanine, 13C, 15N2",157989664
200929_Smp_A_3LV_T36,"Guanine, 13C, 15N2",137185152
200929_Smp_A_3LV_T48,"Guanine, 13C, 15N2",104440128
200929_Smp_A_4LGV_T0,"Guanine, 13C, 15N2",109773424
200929_Smp_A_4LGV_T12,"Guanine, 13C, 15N2",145029168
200929_Smp_A_4LGV_T24,"Guanine, 13C, 15N2",94085352
200929_Smp_A_4LGV_T36,"Guanine, 13C, 15N2",136560464
200929_Smp_A_4LGV_T48,"Guanine, 13C, 15N2",142924528
200929_Smp_A_6HV_T0,"Guanine, 13C, 15N2",148771584
200929_Smp_A_6HV_T12,"Guanine, 13C, 15N2",112604328
200929_Smp_A_6HV_T24,"Guanine, 13C, 15N2",106932856
200929_Smp_A_6HV_T36,"Guanine, 13C, 15N2",167768960
200929_Smp_A_6HV_T48,"Guanine, 13C, 15N2",99026280
