Compound,SampID,Area,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL
OH-Pseudocob,A_1C_T42,268452,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50
OH-Pseudocob,A_1C_T48,445621,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100
OH-Pseudocob,A_1C_T6,166919,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50
OH-Pseudocob,A_3LV_T0,254219,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50
OH-Pseudocob,A_3LV_T12,121391,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50
OH-Pseudocob,A_3LV_T24,503585,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100
OH-Pseudocob,A_3LV_T36,944219,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300
OH-Pseudocob,A_3LV_T48,288595,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100
OH-Pseudocob,A_4LGV_T0,247801,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50
OH-Pseudocob,A_4LGV_T12,265248,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50
OH-Pseudocob,A_4LGV_T24,74121,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100
OH-Pseudocob,A_4LGV_T36,67793,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300
OH-Pseudocob,A_4LGV_T48,37326,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300
OH-Pseudocob,A_6HV_T0,317434,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50
OH-Pseudocob,A_6HV_T12,130450,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50
OH-Pseudocob,A_6HV_T24,136578,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100
OH-Pseudocob,A_6HV_T36,83861,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300
OH-Pseudocob,A_6HV_T48,40256,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100
OH-Pseudocob,A_8G_T0,16357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-Pseudocob,A_8G_T48,10277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
