SampID,Vol.filt.mL,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,MF,FinalBMIS,FinalRSD,Area,Adjusted_Area,Name,RT,mz,MS2,fraction,Predicted_Adduct_Ion,SIRIUS_molecularFormula,SIRIUS_name
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2401,"Glycine betaine, 13C5, 15N",0.10566899701598027,0,0,Unknown,8.188,302.06635,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2406,"L-Cysteic acid, 2H3",0.18915781580944785,127667,93890.5278077242,Unknown,11.862,302.53397,FALSE,HILIC_Neg,[M-2H]2-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2406,"L-Cysteic acid, 2H3",0.18915781580944785,127667,93890.5278077242,Unknown,11.862,302.53397,FALSE,HILIC_Neg,[M-2H]2-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2409,"Cytosine, 13C2, 15N3",0.11896960249299948,90007,131944.89514660364,Unknown,8.009,303.05026,FALSE,HILIC_Neg,[M+Cl]-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2427,"Cytosine, 13C2, 15N3",0.1150118080398126,0,0,Unknown,8.007,305.0473,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2428,"DL-Proline, 2H7",0.10976785976089694,156657,157481.805206647,Unknown,13.755,305.06842,FALSE,HILIC_Neg,[M-2H]2-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2428,"DL-Proline, 2H7",0.10976785976089694,156657,157481.805206647,Unknown,13.755,305.06842,FALSE,HILIC_Neg,[M-2H]2-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2429,"Thymine, 2H4",0.0720578724899367,360529,315333.1013085185,Unknown,2.328,305.11862,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2488,"Sulfoacetic acid, 13C2",0.2613916191957976,6047618,5642932.839345159,Unknown,11.242,315.08087,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2495,"DL-Proline, 2H7",0.2056553245231524,482426,484965.9916800518,Unknown,10.746,316.08856,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2505,"Thymine, 2H4",0.10940251635842066,22731438,19881825.98831802,Unknown,11.204,317.05469,TRUE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2525,"Thymine, 2H4",0.11552244266701923,933538,816509.7196878801,Unknown,11.224,319.05035,FALSE,HILIC_Neg,NA,NA,NA
