Compound,SampID,Area,slope,Conc_nM_vial,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL,nM.in.smp
CN-Pseudocob,C_3LV_T0,305060,1565787.8697218557,0.1948284348723371,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50,0.001558627478978697
CN-Pseudocob,C_3LV_T12,273276,1565787.8697218557,0.17452938886833014,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50,0.0013962351109466412
CN-Pseudocob,C_3LV_T24,928061,1565787.8697218557,0.5927118340525013,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100,0.0023708473362100053
CN-Pseudocob,C_3LV_T36,529988,1565787.8697218557,0.3384800778244286,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100,0.0013539203112977148
CN-Pseudocob,C_3LV_T48,179981,1565787.8697218557,0.11494596648776667,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100,4.5978386595106667e-4
CN-Pseudocob,C_4LGV_T0,307270,1565787.8697218557,0.19623986488960538,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50,0.001569918919116843
CN-Pseudocob,C_4LGV_T12,126824,1565787.8697218557,0.0809969233077076,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50,6.479753864616608e-4
CN-Pseudocob,C_4LGV_T24,255171,1565787.8697218557,0.16296651988070912,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100,6.518660795228365e-4
CN-Pseudocob,C_4LGV_T36,377622,1565787.8697218557,0.24117059999135146,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300,3.215607999884686e-4
CN-Pseudocob,C_4LGV_T48,151498,1565787.8697218557,0.0967551243240324,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300,1.2900683243204322e-4
CN-Pseudocob,C_6HV_T0,196000,1565787.8697218557,0.12517659881655435,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50,0.0010014127905324348
CN-Pseudocob,C_6HV_T12,239071,1565787.8697218557,0.15268415640649216,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50,0.0012214732512519375
CN-Pseudocob,C_6HV_T24,124699,1565787.8697218557,0.07963977906033423,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100,3.18559116241337e-4
CN-Pseudocob,C_6HV_T36,85113,1565787.8697218557,0.054357938036088724,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100,2.174317521443549e-4
CN-Pseudocob,C_6HV_T48,78997,1565787.8697218557,0.0504519172281191,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100,2.0180766891247644e-4
CN-Pseudocob,E_2LG_T0,168591,1565787.8697218557,0.10767167332184548,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50,8.613733865747639e-4
CN-Pseudocob,E_2LG_T24,366106,1565787.8697218557,0.23381583615476248,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50,0.0018705266892381001
CN-Pseudocob,E_2LG_T36,358725,1565787.8697218557,0.22910191535953295,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100,9.164076614381319e-4
