Time,Treatment,Rep,Pro.count,BacSml.count,BacLrg.count,BacTot.count,Phage.abun,Pro.C,BacSml.C,BacLrg.C,BacTot.C,TotMicrobial.C,Pro.C.Fraction
38,HV,A,1210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,HV,B,570000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,HV,C,1170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,C,A,35800000,NA,NA,NA,NA,1009990018.5516846,NA,NA,NA,NA,NA
40,C,B,34800000,NA,NA,NA,NA,1109385358.216149,NA,NA,NA,NA,NA
40,C,C,33400000,NA,NA,NA,NA,1119908499.184529,NA,NA,NA,NA,NA
40,LV,A,23000000,NA,NA,NA,NA,744986730.2385536,NA,NA,NA,NA,NA
40,LV,B,21400000,NA,NA,NA,NA,711912668.2525012,NA,NA,NA,NA,NA
40,LV,C,20000000,NA,NA,NA,NA,674922181.3969407,NA,NA,NA,NA,NA
40,HV,A,1350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,HV,B,497000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,HV,C,937000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,C,A,34300000,968000,1500000,2470000,0,964933586.3388757,11620465.163085392,33353182.660671037,44973647.82375643,1009907234.162632,0.9554675456295284
42,C,B,33100000,1360000,2750000,4110000,0,966074439.3866352,16400854.056000764,65033025.41033127,81433879.46633203,1047508318.8529671,0.922259443671528
42,C,C,35700000,1310000,1450000,2770000,0,1110371062.3882034,15156538.473287093,30458470.487514134,45615008.96080123,1155986071.3490045,0.9605401742362089
42,LV,A,19700000,1000000,2720000,3730000,172000000,610071166.2244017,13428618.409131529,59884053.46035847,73312671.86949,683383838.0938917,0.8927210920381505
42,LV,B,18800000,746000,5160000,5900000,201000000,592283926.1524503,10185060.951177755,120993840.5622557,131178901.51343346,723462827.6658838,0.8186791407975205
42,LV,C,18300000,1480000,4300000,5780000,NA,581210667.2189709,19903586.57242127,93444133.57312998,113347720.14555123,694558387.3645221,0.8368060594939394
42,HV,A,1140000,3440000,5100000,8540000,290000000,NA,NA,NA,NA,NA,NA
42,HV,B,631000,3190000,7350000,10500000,320000000,NA,NA,NA,NA,NA,NA
42,HV,C,927000,6000000,3110000,9110000,300000000,NA,NA,NA,NA,NA,NA
44,C,A,40300000,NA,NA,NA,NA,1054066232.3463912,NA,NA,NA,NA,NA
44,C,B,35500000,NA,NA,NA,NA,940211781.3152416,NA,NA,NA,NA,NA
44,C,C,36300000,NA,NA,NA,NA,1076728252.996848,NA,NA,NA,NA,NA
