rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
92	C19H34N6O8	[M + H]+	C19H34N6O8	60.185937069072516	57.18624818277114	2.9996888863013766	22	0.7013453600290896	3.9904101464747246	3.9904101464747246	2.2045779457792096		475.25214	82.562	138_201006_Poo_TruePooMortality_DDApos_138
93	C12H16N2O4	[M + H]+	C12H16N2O4	60.17556747498628	56.92884758598118	3.2467198890050977	15	0.907249276920866	2.533984237253628	2.533984237253628	1.7186444423448053		253.11872	91.797	151_201006_Poo_TruePooMortality_DDApos_151
94	C35H65NO3	[M + H]+	C35H65NO3	60.1324433032769	53.83302775560268	6.2994155476742195	12	0.8281154785113508	3.421613278224847	3.421613278224847	2.488346898609756		548.50509	906.637	290_201006_Poo_TruePooMortality_DDApos_290
95	C6H7N5O2	[M + H]+	C6H7N5O2	59.25001198231242	55.72644969563906	3.5235622866733642	12	0.7807451835673413	4.999140991100447	4.999140991100447	1.3949041710338188		182.06750	55.01	52_201006_Poo_TruePooMortality_DDApos_52
96	C6H15N4O4	[M + H]+	C6H15N4O4	59.10670418035507	56.46250424791608	2.6441999324389895	13	0.55795414435972	-2.148527687906078	2.1941409195756645	-1.289269345365968		208.11634	120.291	172_201006_Poo_TruePooMortality_DDApos_172
97	C36H72N2O2	[M + H]+	C36H72N2O2	59.0772363274901	52.57558687442467	6.501649453065426	11	0.9110495383259066	0.5368494065510924	0.6596320364514641	2.2204013655311114		565.56791	889.929	284_201006_Poo_TruePooMortality_DDApos_284
98	C8H14N6O6	[M + H]+	C8H14N6O6	58.87926786464626	56.21437269864184	2.664895166004417	12	0.5360522857270532	6.121482118425467	6.121482118425467	1.7754810999988857		291.10528	47.001	31_201006_Poo_TruePooMortality_DDApos_31
99	C14H31NO2	[M + H]+	C14H31NO2	58.63100248223353	53.045721431654144	5.585281050579379	11	0.7963306494563367	7.719200569147171	7.719200569147171	1.8443342130362457		246.24321	464.855	239_201006_Poo_TruePooMortality_DDApos_239
100	C12H24N2O2S	[M + H]+	C12H24N2O2S	58.042690209231914	58.042690209231914	0.0	11	0.7947804146824208	4.433260968156581	4.433260968156581	4.87330309040725		261.16440	68.224	105_201006_Poo_TruePooMortality_DDApos_105
101	C49H58O	[M + H]+	C49H58O	57.51361247375199	50.034494052179355	7.479118421572639	11	0.9774424841866697	-3.743885477639538	4.103317701444243	-1.6688676134926552		663.45494	895.62	285_201006_Poo_TruePooMortality_DDApos_285
102	C4H6N2O	[M + H]+	C4H6N2O	57.42880851028706	57.42880851028706	0.0	12	0.9385834606264347	13.274884209175639	13.274884209175639	5.478174063010569		99.05583	1078.125	301_201006_Poo_TruePooMortality_DDApos_301
