rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
61	C24H33NO6	[M + H]+	C24H33NO6	47.95868753977746	41.555455176573254	6.403232363204203	9	0.4981256301237014	2.706837860859317	2.706837860859317	0.47855406887183555		432.23827	123.087	10_200929_Poo_TruePooMortality_DDApos_10
62	C8H18O3	[M + H]+	C8H18O3	47.93448224069893	42.84482714484122	5.0896550958577045	6	0.7415502972338729	6.615258676558799	6.615258676558799	0.5774418436271321		163.13297	133.413	14_200929_Poo_TruePooMortality_DDApos_14
63	C7H17NO4S	[M + H]+	C7H17NO4S	47.52017467564026	44.72319256633158	2.796982109308682	10	0.9237438591816137	5.902868740978002	5.902868740978002	0.22788122380080778		212.09515	654.263	154_200929_Poo_TruePooMortality_DDApos_154
64	C4H7NO4	[M + H]+	C4H7NO4	47.21166012044527	44.6722767871674	2.5393833332778764	7	0.7731487841399853	7.314882875230986	7.314882875230986	0.4582418956741228		134.04485	675.022	160_200929_Poo_TruePooMortality_DDApos_160
65	C6H5N5O	[M + H]+	C6H5N5O	47.19704623934189	45.2394237776568	1.957622461685085	11	0.8848935929505156	1.8296000295011547	3.5457012325817683	-0.18498671267719186		164.05666	433.879	77_200929_Poo_TruePooMortality_DDApos_77
66	C10H15NO2S	[M + H]+	C10H15NO2S	46.88762308586848	42.08266368667839	4.804959399190093	10	0.9483942831153583	7.9238666834480105	7.9238666834480105	0.5886558034592894		214.08975	1234.058	192_200929_Poo_TruePooMortality_DDApos_192
67	C18H38O10	[M + H3N + H]+	C18H41NO10	46.63118673306623	46.63118673306623	0.0	18	0.6722319332128895	0.23954959311191923	1.0880010167850591	0.5913964293029553		432.28058	147.083	17_200929_Poo_TruePooMortality_DDApos_17
68	C6H13NO2	[M + H]+	C6H13NO2	46.28686414468543	43.4519541449933	2.8349099996921328	7	0.8828042880496407	6.939603566114872	6.939603566114872	0.5251943767120169		132.10197	168.043	46_200929_Poo_TruePooMortality_DDApos_46
69	C10H21NO5	[M + H]+	C10H21NO5	45.761939957441896	38.34989476840751	7.41204518903439	22	0.9572148119712167	6.2923191109172265	6.2923191109172265	-0.7881197430849385		236.14906	645.118	145_200929_Poo_TruePooMortality_DDApos_145
70	C16H34O9	[M + H3N + H]+	C16H37NO9	45.688153261456996	45.688153261456996	0.0	15	0.668867519667554	1.0822595915071835	1.363016142569925	0.0038233471472366087		388.25411	149.234	18_200929_Poo_TruePooMortality_DDApos_18
71	C30H58O4S	[M + H3N + H]+	C30H61NO4S	45.58718832353485	45.58718832353485	0.0	21	0.9059877520914345	3.877475073435909	3.877475073435909	0.31611328270165334		532.43958	115.898	6_200929_Poo_TruePooMortality_DDApos_6
72	C10H15NO2S	[M + H]+	C10H15NO2S	44.69032320109255	38.111065909159784	6.579257291932768	9	0.9457739008827275	6.613265291364886	6.613265291364886	-0.33789169730739743		214.08955	687.737	162_200929_Poo_TruePooMortality_DDApos_162
73	C5H9NO4	[M + H]+	C5H9NO4	44.57170835803971	39.64505517398545	4.926653184054262	7	1.0000000000000002	4.033105134937807	4.033105134937807	-0.9911131952165728		148.06029	654.266	153_200929_Poo_TruePooMortality_DDApos_153
74	C10H13N5O3	[M + H]+	C10H13N5O3	44.378439760534796	42.028998792599715	2.34944096793508	8	0.7920458197251542	4.922391440200224	4.922391440200224	0.30211687315634217		252.10919	270.613	56_200929_Poo_TruePooMortality_DDApos_56
75	C4H7NO4	[M + H]+	C4H7NO4	44.251897829689206	39.58057441807196	4.6713234116172435	5	0.8103518905133873	5.4797995857018815	5.4797995857018815	-0.3385926199694227		134.04474	676.479	161_200929_Poo_TruePooMortality_DDApos_161
76	C11H19N3O3	[M + H]+	C11H19N3O3	44.19959163570529	41.12273498224307	3.076856653462224	8	0.8873983144195514	1.7965008986512103	1.7965008986512103	-74377.33953281937		242.15001	167.455	44_200929_Poo_TruePooMortality_DDApos_44
77	C26H27N7O9SeSi2	[M + H]+	C26H27N7O9SeSi2	43.85870957311349	43.85870957311349	0.0	20	0.7494295690110893	0.15322990816943444	1.7755160816484412	-3.44782513980017		712.06818	553.56	106_200929_Poo_TruePooMortality_DDApos_106
78	C5H8N3	[M + H]+	C5H8N3	43.315852705005206	41.73713740800483	1.5787152970003806	8	0.915264276680349	6.601486777363594	6.601486777363594	2.612800384703709		111.07939	1291.636	204_200929_Poo_TruePooMortality_DDApos_204
