GENE.NAME,KEGG,PathwayID,Pathway_info,Details
selD,K01008,9106,Metabolism of other amino acids,00450 Selenocompound metabolism [PATH:ko00450]
bioB,K01012,9108,Metabolism of cofactors and vitamins,00780 Biotin metabolism [PATH:ko00780]
PMM0592,K01046,9103,Lipid metabolism,00561 Glycerolipid metabolism [PATH:ko00561]
pth,K01056,9122,Translation,03012 Translation factors [BR:ko03012]
pgl,K01057,9101,Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030]
PMM1415,K01061,9111,Xenobiotics biodegradation and metabolism,00623 Toluene degradation [PATH:ko00623]
PMM1415,K01061,9111,Xenobiotics biodegradation and metabolism,00364 Fluorobenzoate degradation [PATH:ko00364]
PMM1415,K01061,9111,Xenobiotics biodegradation and metabolism,00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]
gloB,K01069,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
dedA,K01077,9132,Signal transduction,02020 Two-component system [PATH:ko02020]
phoA,K01077,9132,Signal transduction,02020 Two-component system [PATH:ko02020]
dedA,K01077,9107,Glycan biosynthesis and metabolism,00537 Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]
phoA,K01077,9107,Glycan biosynthesis and metabolism,00537 Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]
dedA,K01077,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
phoA,K01077,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
dedA,K01077,9108,Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790]
phoA,K01077,9108,Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790]
dedA,K01077,9108,Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730]
phoA,K01077,9108,Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730]
cysQ,K01082,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016]
cysQ,K01082,9102,Energy metabolism,00920 Sulfur metabolism [PATH:ko00920]
suhB,K01092,9101,Carbohydrate metabolism,00562 Inositol phosphate metabolism [PATH:ko00562]
PMM0096,K01092,9101,Carbohydrate metabolism,00562 Inositol phosphate metabolism [PATH:ko00562]
suhB,K01092,9132,Signal transduction,04070 Phosphatidylinositol signaling system [PATH:ko04070]
PMM0096,K01092,9132,Signal transduction,04070 Phosphatidylinositol signaling system [PATH:ko04070]
suhB,K01092,9110,Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521]
PMM0096,K01092,9110,Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521]
wzb,K01104,9193,Cellular processes and signaling,99995 Signal transduction mechanisms
spoT,K01139,9122,Translation,03009 Ribosome biogenesis [BR:ko03009]
